Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 12:14:00,65535,1,1000,6663,4713,6700
2012-08-14 12:15:00,65535,1,1000,6663,4696,6700
2012-08-14 12:16:00,65535,1,1000,6663,4678,6700
2012-08-14 12:17:00,65535,1,1000,6663,4659,6700
2012-08-14 12:18:00,65535,1,1000,6663,4643,6700
2012-08-14 12:19:00,65535,1,1000,6663,4633,6700
2012-08-14 12:20:00,65535,1,1000,6663,4615,6700
2012-08-14 12:21:00,65535,1,1000,6663,4600,6700
2012-08-14 12:22:00,65535,1,1000,6663,4583,6700
2012-08-14 12:23:00,65535,1,1000,6663,4563,6700
2012-08-14 12:24:00,65535,1,1000,6663,4542,6700
2012-08-14 12:25:00,65535,1,1000,6663,4525,6700
2012-08-14 12:26:00,65535,1,1000,6663,4507,6700
2012-08-14 12:27:00,65535,1,1000,6663,4489,6700
2012-08-14 12:28:00,65535,1,1000,6663,4468,6700
2012-08-14 12:29:00,65535,1,1000,6663,4447,6700
2012-08-14 12:30:00,65535,1,1000,6663,4428,6700
2012-08-14 12:31:00,65535,1,1000,6664,4407,6700
2012-08-14 12:32:00,65535,1,1000,6664,4390,6700
2012-08-14 12:33:00,65535,1,1000,6664,4371,6700
2012-08-14 12:34:00,65535,1,1000,6664,4353,6700
2012-08-14 12:35:00,65535,1,1000,6664,4334,6700
2012-08-14 12:36:00,65535,1,1000,6664,4316,6700
2012-08-14 12:37:00,65535,1,1000,6664,4298,6700
2012-08-14 12:38:00,65535,1,1000,6664,4277,6700
2012-08-14 12:39:00,65535,1,1000,6664,4245,6700
2012-08-14 12:40:00,65535,1,1000,6664,4226,6700
2012-08-14 12:41:00,65535,1,1000,6664,4207,6700
2012-08-14 12:42:00,65535,1,1000,6664,4187,6700
2012-08-14 12:43:00,65535,1,1000,6664,4170,6700
2012-08-14 12:44:00,65535,1,1000,6664,4153,6700
2012-08-14 12:45:00,65535,1,1000,6664,4136,6700
2012-08-14 12:46:00,65535,1,1000,6664,4121,6700
2012-08-14 12:47:00,65535,1,1000,6664,4099,6700
2012-08-14 12:48:00,65535,1,1000,6664,4081,6700
2012-08-14 12:49:00,65535,1,1000,6664,4063,6700
2012-08-14 12:50:01,65535,1,1000,6664,4047,6700
2012-08-14 12:51:00,65535,1,1000,6664,4028,6700
